date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:16	48073/48073	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Nov%202019%2009:02:17%20GMT	https://www.tateconsulting.eu/	C:/Users/jawiwy/Desktop/zamara/persclone/persberg/www.tateconsulting.eu/index.html	(from )
12:02:16	67/67	---M--	200	added ('OK')	text/plain	date:Mon,%2018%20Nov%202019%2009:02:17%20GMT	https://www.tateconsulting.eu/robots.txt		(from )
12:02:17	4174/4174	---M--	200	added ('OK')	image/png	etag:%22104e-510549fbfd5c0%22	https://www.tateconsulting.eu/wp-content/uploads/2015/03/Tate.png	C:/Users/jawiwy/Desktop/zamara/persclone/persberg/www.tateconsulting.eu/wp-content/uploads/2015/03/Tate.png	(from https://www.tateconsulting.eu/)
12:02:18	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Mon,%2018%20Nov%202019%2009:02:19%20GMT	https://www.tateconsulting.eu/xmlrpc.php	C:/Users/jawiwy/Desktop/zamara/persclone/persberg/www.tateconsulting.eu/xmlrpc.1.delayed	(from https://www.tateconsulting.eu/)
12:02:19	1685/1685	---M-Z	200	added ('OK')	text/css	etag:%22695-58ece89f6efde-gzip%22	https://www.tateconsulting.eu/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.3	C:/Users/jawiwy/Desktop/zamara/persclone/persberg/www.tateconsulting.eu/wp-content/plugins/contact-form-7/includes/css/stylesbdeb.css	(from https://www.tateconsulting.eu/)
12:02:19	32248/32248	---M-Z	200	added ('OK')	text/css	etag:%227df8-4fa6367dbb180-gzip%22	https://www.tateconsulting.eu/wp-content/plugins/revslider/rs-plugin/css/settings.css?rev=4.3.8&ver=a8fb6e3ee4422e24a3ea8b17a78ac40b	C:/Users/jawiwy/Desktop/zamara/persclone/persberg/www.tateconsulting.eu/wp-content/plugins/revslider/rs-plugin/css/settingsf23f.css	(from https://www.tateconsulting.eu/)
12:02:20	702/702	---M-Z	200	added ('OK')	application/rss+xml	etag:%2248061fe4279926aa4e13b7397d0f0caf-gzip%22	https://www.tateconsulting.eu/comments/feed/	C:/Users/jawiwy/Desktop/zamara/persclone/persberg/www.tateconsulting.eu/comments/feed/index.html	(from https://www.tateconsulting.eu/)
12:02:20	38527/38527	---M-Z	200	added ('OK')	application/rss+xml	etag:%22aee759608bfa9ea830b3881f3a624c1e-gzip%22	https://www.tateconsulting.eu/feed/	C:/Users/jawiwy/Desktop/zamara/persclone/persberg/www.tateconsulting.eu/feed/index.html	(from https://www.tateconsulting.eu/)
12:02:21	11836/11836	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Nov%202019%2009:02:22%20GMT	https://www.tateconsulting.eu/wp-content/plugins/revslider/rs-plugin/css/captions.php?rev=4.3.8&ver=a8fb6e3ee4422e24a3ea8b17a78ac40b	C:/Users/jawiwy/Desktop/zamara/persclone/persberg/www.tateconsulting.eu/wp-content/plugins/revslider/rs-plugin/css/captionsf23f.css	(from https://www.tateconsulting.eu/)
12:02:21	3192/3192	---M-Z	200	added ('OK')	text/css	etag:%22c78-57be4f268d83c-gzip%22	https://www.tateconsulting.eu/wp-content/plugins/rotatingtweets/css/style.css?ver=a8fb6e3ee4422e24a3ea8b17a78ac40b	C:/Users/jawiwy/Desktop/zamara/persclone/persberg/www.tateconsulting.eu/wp-content/plugins/rotatingtweets/css/stylee1a8.css	(from https://www.tateconsulting.eu/)
